"Year.of.Observation","Pinniped.Common.Name","variable","value"
1992,"Harbor seal","SST_44",12.1149166666667
1992,"California sea lion","SST_44",12.1149166666667
1993,"Steller sea lion","SST_44",11.8565833333333
1993,"Harbor seal","SST_44",11.8565833333333
1993,"California sea lion","SST_44",11.8565833333333
1994,"Harbor seal","SST_44",11.99525
1994,"Steller sea lion","SST_44",11.99525
1994,"California sea lion","SST_44",11.99525
1995,"Harbor seal","SST_44",13.49425
1995,"California sea lion","SST_44",13.49425
1996,"Steller sea lion","SST_44",11.780875
1996,"Harbor seal","SST_44",11.780875
1996,"California sea lion","SST_44",11.780875
1997,"Steller sea lion","SST_44",13.6812
1997,"Harbor seal","SST_44",13.6812
1997,"California sea lion","SST_44",13.6812
1998,"Harbor seal","SST_44",13.0315555555556
1998,"Steller sea lion","SST_44",13.0315555555556
1998,"California sea lion","SST_44",13.0315555555556
1999,"California sea lion","SST_44",10.0903333333333
1999,"Steller sea lion","SST_44",10.0903333333333
1999,"Harbor seal","SST_44",10.0903333333333
2000,"Harbor seal","SST_44",11.2718333333333
2000,"California sea lion","SST_44",11.2718333333333
2001,"Steller sea lion","SST_44",11.3287272727273
2001,"Harbor seal","SST_44",11.3287272727273
2001,"California sea lion","SST_44",11.3287272727273
2002,"Steller sea lion","SST_44",11.2370909090909
2002,"Harbor seal","SST_44",11.2370909090909
2002,"California sea lion","SST_44",11.2370909090909
2003,"California sea lion","SST_44",11.9773333333333
2003,"Harbor seal","SST_44",11.9773333333333
2003,"Steller sea lion","SST_44",11.9773333333333
2004,"California sea lion","SST_44",12.5106666666667
2004,"Harbor seal","SST_44",12.5106666666667
2004,"Steller sea lion","SST_44",12.5106666666667
2005,"Steller sea lion","SST_44",12.7262222222222
2005,"California sea lion","SST_44",12.7262222222222
2005,"Harbor seal","SST_44",12.7262222222222
2006,"Steller sea lion","SST_44",11.7273333333333
2006,"Harbor seal","SST_44",11.7273333333333
2006,"California sea lion","SST_44",11.7273333333333
2007,"California sea lion","SST_44",12.0481818181818
2007,"Harbor seal","SST_44",12.0481818181818
2007,"Steller sea lion","SST_44",12.0481818181818
2008,"Harbor seal","SST_44",11.6178
2008,"California sea lion","SST_44",11.6178
2008,"Steller sea lion","SST_44",11.6178
2009,"Steller sea lion","SST_44",11.4874166666667
2009,"California sea lion","SST_44",11.4874166666667
2009,"Harbor seal","SST_44",11.4874166666667
2010,"Steller sea lion","SST_44",12.0105833333333
2010,"Harbor seal","SST_44",12.0105833333333
2010,"California sea lion","SST_44",12.0105833333333
2011,"Steller sea lion","SST_44",12.2397142857143
2011,"Harbor seal","SST_44",12.2397142857143
2011,"California sea lion","SST_44",12.2397142857143
2012,"Steller sea lion","SST_44",11.54
2012,"California sea lion","SST_44",11.54
2012,"Harbor seal","SST_44",11.54
2013,"Harbor seal","SST_44",11.7335833333333
2013,"Steller sea lion","SST_44",11.7335833333333
2013,"California sea lion","SST_44",11.7335833333333
2014,"Harbor seal","SST_44",12.4470833333333
2014,"Steller sea lion","SST_44",12.4470833333333
2014,"California sea lion","SST_44",12.4470833333333
2015,"Steller sea lion","SST_44",13.0754166666667
2015,"Harbor seal","SST_44",13.0754166666667
2015,"California sea lion","SST_44",13.0754166666667
2016,"California sea lion","SST_44",13.0293333333333
2016,"Steller sea lion","SST_44",13.0293333333333
2016,"Harbor seal","SST_44",13.0293333333333
1989,"California sea lion","Upwelling_39",51.4292166666667
1989,"Harbor seal","Upwelling_39",51.4292166666667
1989,"Steller sea lion","Upwelling_39",51.4292166666667
1990,"Steller sea lion","Upwelling_39",51.16715
1990,"California sea lion","Upwelling_39",51.16715
1990,"Harbor seal","Upwelling_39",51.16715
1991,"Steller sea lion","Upwelling_39",54.0167583333333
1991,"California sea lion","Upwelling_39",54.0167583333333
1991,"Harbor seal","Upwelling_39",54.0167583333333
1992,"Steller sea lion","Upwelling_39",33.3160916666667
1992,"Harbor seal","Upwelling_39",33.3160916666667
1992,"California sea lion","Upwelling_39",33.3160916666667
1993,"Steller sea lion","Upwelling_39",35.7635583333333
1993,"Harbor seal","Upwelling_39",35.7635583333333
1993,"California sea lion","Upwelling_39",35.7635583333333
1994,"Harbor seal","Upwelling_39",56.7530666666667
1994,"Steller sea lion","Upwelling_39",56.7530666666667
1994,"California sea lion","Upwelling_39",56.7530666666667
1995,"Harbor seal","Upwelling_39",22.6484583333333
1995,"California sea lion","Upwelling_39",22.6484583333333
1996,"Steller sea lion","Upwelling_39",57.3358333333333
1996,"Harbor seal","Upwelling_39",57.3358333333333
1996,"California sea lion","Upwelling_39",57.3358333333333
1997,"Steller sea lion","Upwelling_39",87.4543333333333
1997,"Harbor seal","Upwelling_39",87.4543333333333
1997,"California sea lion","Upwelling_39",87.4543333333333
1998,"Harbor seal","Upwelling_39",54.3282833333333
1998,"Steller sea lion","Upwelling_39",54.3282833333333
1998,"California sea lion","Upwelling_39",54.3282833333333
1999,"California sea lion","Upwelling_39",119.979008333333
1999,"Steller sea lion","Upwelling_39",119.979008333333
1999,"Harbor seal","Upwelling_39",119.979008333333
2000,"Harbor seal","Upwelling_39",92.6549333333333
2000,"California sea lion","Upwelling_39",92.6549333333333
2001,"Steller sea lion","Upwelling_39",122.135866666667
2001,"Harbor seal","Upwelling_39",122.135866666667
2001,"California sea lion","Upwelling_39",122.135866666667
2002,"Steller sea lion","Upwelling_39",103.8053
2002,"Harbor seal","Upwelling_39",103.8053
2002,"California sea lion","Upwelling_39",103.8053
2003,"California sea lion","Upwelling_39",87.0250666666667
2003,"Harbor seal","Upwelling_39",87.0250666666667
