"Date","Month.of.Observation","SST_39_anom","SST_44_anom"
2007-02-01,"FEB",-0.415333333333333,-0.577736842105264
2007-03-01,"MAR",-0.422666666666668,-0.0739000000000001
2007-04-01,"APR",-0.857041666666667,-0.22865
2007-05-01,"MAY",-0.95904347826087,-0.881045454545454
2007-06-01,"JUN",-0.301880000000001,0.363863636363636
2007-07-01,"JUL",NA,2.47240909090909
2007-08-01,"AUG",1.67554166666667,1.44122727272727
2007-09-01,"SEP",0.409279999999999,-0.518590909090911
2007-10-01,"OCT",0.433884615384615,-0.702521739130436
2007-11-01,"NOV",-0.700615384615386,-0.834958333333335
2007-12-01,"DEC",-1.75307692307692,NA
2008-01-01,"JAN",-1.32616,NA
2008-02-01,"FEB",-1.05333333333333,NA
2008-03-01,"MAR",-1.31166666666667,-1.1259
2008-04-01,"APR",-1.68304166666667,-1.40765
2008-05-01,"MAY",-1.41804347826087,-0.767045454545455
2008-06-01,"JUN",-1.80888,-1.40813636363636
2008-07-01,"JUL",-0.279869565217391,-2.29559090909091
2008-08-01,"AUG",-0.807458333333333,1.50422727272727
2008-09-01,"SEP",-0.192720000000001,-1.60559090909091
2008-10-01,"OCT",-0.986115384615385,0.028478260869564
2008-11-01,"NOV",0.0533846153846156,0.361041666666667
2008-12-01,"DEC",-0.725076923076923,-0.401
2009-01-01,"JAN",-0.718160000000001,-1.02933333333333
2009-02-01,"FEB",-0.930333333333333,-1.14973684210526
2009-03-01,"MAR",-0.892666666666667,-0.7719
2009-04-01,"APR",-1.84204166666667,-1.10465
2009-05-01,"MAY",-1.15604347826087,-1.41904545454545
2009-06-01,"JUN",0.363119999999999,-0.234136363636363
2009-07-01,"JUL",-0.794869565217391,-1.83059090909091
2009-08-01,"AUG",-0.0554583333333341,0.774227272727273
2009-09-01,"SEP",0.227279999999999,1.30640909090909
2009-10-01,"OCT",-0.892115384615384,0.130478260869564
2009-11-01,"NOV",-0.784615384615385,0.107041666666666
2009-12-01,"DEC",-0.791076923076924,-0.720000000000001
2010-01-01,"JAN",0.45984,0.487666666666666
2010-02-01,"FEB",0.596666666666666,0.834263157894737
2010-03-01,"MAR",0.516333333333332,0.725099999999999
2010-04-01,"APR",0.0689583333333328,0.26835
2010-05-01,"MAY",-0.93704347826087,-0.313045454545454
2010-06-01,"JUN",-0.846880000000001,-0.218136363636363
2010-07-01,"JUL",-0.947869565217392,-1.19159090909091
2010-08-01,"AUG",-1.51145833333333,-0.529772727272727
2010-09-01,"SEP",-1.14672,0.33940909090909
2010-10-01,"OCT",-1.17311538461538,0.170478260869565
2010-11-01,"NOV",-0.640615384615385,0.113041666666666
2010-12-01,"DEC",0.0819230769230757,-0.349
2011-01-01,"JAN",-0.515160000000002,-0.627333333333334
2011-02-01,"FEB",-1.06833333333333,NA
2011-03-01,"MAR",NA,NA
2011-04-01,"APR",NA,NA
2011-05-01,"MAY",NA,NA
2011-06-01,"JUN",NA,NA
2011-07-01,"JUL",1.97613043478261,1.09140909090909
2011-08-01,"AUG",-0.851458333333333,-0.686772727272727
2011-09-01,"SEP",-1.10472,-1.44559090909091
2011-10-01,"OCT",0.390884615384616,1.55247826086956
2011-11-01,"NOV",-0.675615384615385,0.0400416666666654
2011-12-01,"DEC",-1.45507692307692,-1.059
2012-01-01,"JAN",-0.72616,-1.17833333333333
2012-02-01,"FEB",-1.10033333333333,-0.970736842105264
2012-03-01,"MAR",-1.33366666666667,-1.3729
2012-04-01,"APR",-0.0700416666666666,-0.727650000000001
2012-05-01,"MAY",-1.04904347826087,-0.898045454545455
2012-06-01,"JUN",-0.461880000000001,0.586863636363637
2012-07-01,"JUL",-0.793869565217392,1.58940909090909
2012-08-01,"AUG",-1.18145833333333,-0.232772727272728
2012-09-01,"SEP",-1.00072,-1.22259090909091
2012-10-01,"OCT",1.32488461538462,-1.36352173913044
2012-11-01,"NOV",1.87638461538461,0.196041666666666
2012-12-01,"DEC",0.312923076923076,0.284000000000001
2013-01-01,"JAN",-0.82816,-0.458333333333334
2013-02-01,"FEB",-1.58333333333333,-0.827736842105264
2013-03-01,"MAR",-1.61066666666667,-0.950900000000001
2013-04-01,"APR",-0.973041666666667,-0.54365
2013-05-01,"MAY",-0.15804347826087,-0.560045454545454
2013-06-01,"JUN",-0.0138800000000003,0.482863636363636
2013-07-01,"JUL",-0.528869565217391,-1.94659090909091
2013-08-01,"AUG",0.672541666666666,-0.0717727272727267
2013-09-01,"SEP",0.775279999999999,2.43540909090909
2013-10-01,"OCT",-1.79211538461538,1.33847826086956
2013-11-01,"NOV",0.174384615384614,-0.361958333333334
2013-12-01,"DEC",-0.958076923076923,-1.523
2014-01-01,"JAN",-0.32516,-1.47133333333333
2014-02-01,"FEB",0.211666666666666,-0.925736842105264
2014-03-01,"MAR",0.508333333333333,0.165100000000001
2014-04-01,"APR",0.810958333333334,0.167350000000001
2014-05-01,"MAY",0.57495652173913,1.12595454545455
2014-06-01,"JUN",-0.124880000000001,-0.158136363636364
2014-07-01,"JUL",1.26213043478261,-0.862590909090908
2014-08-01,"AUG",1.10954166666667,-1.45677272727273
2014-09-01,"SEP",2.51928,2.02240909090909
2014-10-01,"OCT",2.31988461538462,2.93647826086957
2014-11-01,"NOV",3.04738461538462,1.81504166666667
2014-12-01,"DEC",3.27092307692308,2.217
2015-01-01,"JAN",NA,2.02066666666667
2015-02-01,"FEB",NA,2.13326315789474
2015-03-01,"MAR",1.32233333333333,1.1491
2015-04-01,"APR",0.0139583333333331,-0.0576500000000006
2015-05-01,"MAY",-0.52104347826087,0.387954545454544
2015-06-01,"JUN",0.729119999999998,-1.15513636363636
2015-07-01,"JUL",1.99013043478261,1.39840909090909
2015-08-01,"AUG",NA,1.41422727272727
2015-09-01,"SEP",NA,1.71640909090909
2015-10-01,"OCT",3.26688461538462,1.68947826086956
2015-11-01,"NOV",0.407384615384615,1.34404166666667
2015-12-01,"DEC",0.747923076923076,1.074
2016-01-01,"JAN",1.24384,1.05566666666667
2016-02-01,"FEB",1.79466666666667,1.27826315789474
2016-03-01,"MAR",1.76833333333333,1.4381
2016-04-01,"APR",1.02095833333333,1.85135
2016-05-01,"MAY",0.515956521739129,1.00995454545455
2016-06-01,"JUN",0.580119999999999,0.559863636363636
2016-07-01,"JUL",NA,1.42740909090909
2016-08-01,"AUG",NA,-0.578772727272728
2016-09-01,"SEP",NA,0.48340909090909
2016-10-01,"OCT",NA,0.756478260869564
2016-11-01,"NOV",NA,2.06404166666667
2016-12-01,"DEC",NA,1.216
2017-01-01,"JAN",NA,0.00466666666666704
2017-02-01,"FEB",NA,0.323263157894736
