"Year.of.Observation","Pinniped.Common.Name","cnt_all","strand_anom","MEI","NPGO","PDO","SST_39","SST_44","Upwelling_39","Upwelling_45","Wind_39","Wind_44","SST_39_anom","SST_44_anom"
1995,"California sea lion",11,-69.4642857142857,0.227166666666667,-1.03920855916667,0.6425,12.1486363636364,13.49425,22.6484583333333,-44.4648333333333,-0.733636666666667,-0.395890875,0.251989893584676,0.689172945487483
1995,"Harbor seal",25,-43.9642857142857,0.227166666666667,-1.03920855916667,0.6425,12.1486363636364,13.49425,22.6484583333333,-44.4648333333333,-0.733636666666667,-0.395890875,0.251989893584676,0.689172945487483
1996,"California sea lion",11,-69.4642857142857,-0.312083333333333,-0.972836595,0.640833333333333,12.15075,11.780875,57.3358333333333,-22.87705,-2.0214225,-0.4232755,0.255418272017837,0.00122929625199331
1996,"Harbor seal",19,-49.9642857142857,-0.312083333333333,-0.972836595,0.640833333333333,12.15075,11.780875,57.3358333333333,-22.87705,-2.0214225,-0.4232755,0.255418272017837,0.00122929625199331
1996,"Steller sea lion",12,-21.2307692307692,-0.312083333333333,-0.972836595,0.640833333333333,12.15075,11.780875,57.3358333333333,-22.87705,-2.0214225,-0.4232755,0.255418272017837,0.00122929625199331
1997,"California sea lion",22,-58.4642857142857,1.571,-0.657690609166667,1.46083333333333,13.1489166666667,13.6812,87.4543333333333,-45.4834666666667,-2.5802625,1.8861516,1.2535849386845,1.6993191370224
1997,"Harbor seal",31,-37.9642857142857,1.571,-0.657690609166667,1.46083333333333,13.1489166666667,13.6812,87.4543333333333,-45.4834666666667,-2.5802625,1.8861516,1.2535849386845,1.6993191370224
1997,"Steller sea lion",10,-23.2307692307692,1.571,-0.657690609166667,1.46083333333333,13.1489166666667,13.6812,87.4543333333333,-45.4834666666667,-2.5802625,1.8861516,1.2535849386845,1.6993191370224
1998,"California sea lion",53,-27.4642857142857,0.902083333333333,0.544553275166667,0.245833333333333,12.6874545454545,13.0315555555556,54.3282833333333,-57.2931416666667,-1.47188416666667,-0.170940666666667,0.824008744299179,0.498561136729615
1998,"Harbor seal",25,-43.9642857142857,0.902083333333333,0.544553275166667,0.245833333333333,12.6874545454545,13.0315555555556,54.3282833333333,-57.2931416666667,-1.47188416666667,-0.170940666666667,0.824008744299179,0.498561136729615
1998,"Steller sea lion",6,-27.2307692307692,0.902083333333333,0.544553275166667,0.245833333333333,12.6874545454545,13.0315555555556,54.3282833333333,-57.2931416666667,-1.47188416666667,-0.170940666666667,0.824008744299179,0.498561136729615
1999,"California sea lion",19,-61.4642857142857,-0.886666666666667,1.51578051666667,-1.06333333333333,12.0346666666667,10.0903333333333,119.979008333333,-74.05335,-2.51627,0.585029833333333,-0.577269230769231,-1.00257504131706
1999,"Harbor seal",44,-24.9642857142857,-0.886666666666667,1.51578051666667,-1.06333333333333,12.0346666666667,10.0903333333333,119.979008333333,-74.05335,-2.51627,0.585029833333333,-0.577269230769231,-1.00257504131706
1999,"Steller sea lion",1,-32.2307692307692,-0.886666666666667,1.51578051666667,-1.06333333333333,12.0346666666667,10.0903333333333,119.979008333333,-74.05335,-2.51627,0.585029833333333,-0.577269230769231,-1.00257504131706
2000,"California sea lion",27,-53.4642857142857,-0.503666666666667,1.8858613,-0.59,11.4466666666667,11.2718333333333,92.6549333333333,-34.8501,-1.80908333333333,-0.392331818181818,-0.448665061315496,-0.710686384294894
2000,"Harbor seal",24,-44.9642857142857,-0.503666666666667,1.8858613,-0.59,11.4466666666667,11.2718333333333,92.6549333333333,-34.8501,-1.80908333333333,-0.392331818181818,-0.448665061315496,-0.710686384294894
2001,"California sea lion",14,-66.4642857142857,-0.13025,2.08069336666667,-0.5625,11.15825,11.3287272727273,122.135866666667,-34.9395916666667,-2.24662583333333,-1.1233083,-0.737081727982163,-0.737566964685339
2001,"Harbor seal",22,-46.9642857142857,-0.13025,2.08069336666667,-0.5625,11.15825,11.3287272727273,122.135866666667,-34.9395916666667,-2.24662583333333,-1.1233083,-0.737081727982163,-0.737566964685339
2001,"Steller sea lion",1,-32.2307692307692,-0.13025,2.08069336666667,-0.5625,11.15825,11.3287272727273,122.135866666667,-34.9395916666667,-2.24662583333333,-1.1233083,-0.737081727982163,-0.737566964685339
2002,"California sea lion",14,-66.4642857142857,0.642166666666667,1.4735939275,0.220833333333333,11.4340909090909,11.2370909090909,103.8053,-39.425025,-1.88735545454545,-0.719580818181818,-0.483710975980542,-0.893263934382309
2002,"Harbor seal",6,-62.9642857142857,0.642166666666667,1.4735939275,0.220833333333333,11.4340909090909,11.2370909090909,103.8053,-39.425025,-1.88735545454545,-0.719580818181818,-0.483710975980542,-0.893263934382309
2002,"Steller sea lion",1,-32.2307692307692,0.642166666666667,1.4735939275,0.220833333333333,11.4340909090909,11.2370909090909,103.8053,-39.425025,-1.88735545454545,-0.719580818181818,-0.483710975980542,-0.893263934382309
2003,"California sea lion",40,-40.4642857142857,0.494416666666667,0.9585072025,0.969166666666667,11.7205833333333,11.9773333333333,87.0250666666667,-46.2091,-1.57058083333333,0.341928083333333,-0.17474839464883,-0.00518638429489426
2003,"Harbor seal",38,-30.9642857142857,0.494416666666667,0.9585072025,0.969166666666667,11.7205833333333,11.9773333333333,87.0250666666667,-46.2091,-1.57058083333333,0.341928083333333,-0.17474839464883,-0.00518638429489426
2003,"Steller sea lion",16,-17.2307692307692,0.494416666666667,0.9585072025,0.969166666666667,11.7205833333333,11.9773333333333,87.0250666666667,-46.2091,-1.57058083333333,0.341928083333333,-0.17474839464883,-0.00518638429489426
2004,"California sea lion",103,22.5357142857143,0.453166666666667,0.209460254416667,0.345,12.1420833333333,12.5106666666667,60.149925,-30.3241666666667,-2.25205583333333,-0.277037166666667,0.24675160535117,0.528146949038439
2004,"Harbor seal",73,4.03571428571429,0.453166666666667,0.209460254416667,0.345,12.1420833333333,12.5106666666667,60.149925,-30.3241666666667,-2.25205583333333,-0.277037166666667,0.24675160535117,0.528146949038439
2004,"Steller sea lion",22,-11.2307692307692,0.453166666666667,0.209460254416667,0.345,12.1420833333333,12.5106666666667,60.149925,-30.3241666666667,-2.25205583333333,-0.277037166666667,0.24675160535117,0.528146949038439
2005,"California sea lion",44,-36.4642857142857,0.356333333333333,-1.381917955,0.375,12.2713333333333,12.7262222222222,59.0830166666667,-22.123925,-1.6639125,-0.526458222222222,0.37600160535117,0.150748173766652
2005,"Harbor seal",48,-20.9642857142857,0.356333333333333,-1.381917955,0.375,12.2713333333333,12.7262222222222,59.0830166666667,-22.123925,-1.6639125,-0.526458222222222,0.37600160535117,0.150748173766652
