"Year.of.Observation","Pinniped.Common.Name","HI.Prev","Boat","Gunshot","Fisheries","Other"
2004,"Unidentified",0.0408163265306122,0,0,0,0.0408163265306122
2005,"California sea lion",0.203125,0.015625,0.078125,0.078125,0.03125
2005,"Guadalupe fur seal",0,0,0,0,0
2005,"Harbor seal",0.0485232067510548,0.00210970464135021,0.0126582278481013,0.00421940928270042,0.029535864978903
2005,"Northern elephant seal",0,0,0,0,0
2005,"Northern fur seal",0,0,0,0,0
2005,"Steller sea lion",0.181818181818182,0,0.181818181818182,0,0
2005,"Unidentified",0.0487804878048781,0,0,0.0487804878048781,0
2006,"California sea lion",0.082089552238806,0.00746268656716418,0.0298507462686567,0.0298507462686567,0.0149253731343284
2006,"Guadalupe fur seal",0.666666666666667,0,0,0.666666666666667,0
2006,"Harbor seal",0.0752941176470588,0.00941176470588235,0.0188235294117647,0.00705882352941176,0.04
2006,"Northern elephant seal",0,0,0,0,0
2006,"Northern fur seal",0.105263157894737,0,0,0,0.105263157894737
2006,"Steller sea lion",0.170212765957447,0.0212765957446809,0.148936170212766,0,0
2006,"Unidentified",0,0,0,0.027027027027027,0
2007,"California sea lion",0.147286821705426,0.00775193798449612,0.0775193798449612,0.0697674418604651,0.0232558139534884
2007,"Guadalupe fur seal",0.0526315789473684,0,0,0.0526315789473684,0
2007,"Harbor seal",0.135623869801085,0.00904159132007233,0.0198915009041591,0.0180831826401447,0.0922242314647378
2007,"Northern elephant seal",0.15,0,0.05,0,0.1
2007,"Northern fur seal",0.142857142857143,0,0,0,0.142857142857143
2007,"Steller sea lion",0.0975609756097561,0,0.0650406504065041,0.016260162601626,0.016260162601626
2007,"Unidentified",0.0666666666666667,0,0.0333333333333333,0.0333333333333333,0
2008,"California sea lion",0.160839160839161,0.00699300699300699,0.0839160839160839,0.0699300699300699,0.020979020979021
2008,"Guadalupe fur seal",0,0,0,0,0
2008,"Harbor seal",0.0962264150943396,0.00754716981132075,0.00943396226415094,0.0150943396226415,0.0641509433962264
2008,"Northern elephant seal",0.227272727272727,0.136363636363636,0,0.136363636363636,0.0454545454545455
2008,"Northern fur seal",0,0,0,0,0
2008,"Steller sea lion",0.108433734939759,0,0.0602409638554217,0.0240963855421687,0.0481927710843374
2008,"Unidentified",0.0869565217391304,0,0,0.0434782608695652,0.0434782608695652
2009,"California sea lion",0.058974358974359,0.00256410256410256,0.0230769230769231,0.0230769230769231,0.0102564102564103
2009,"Guadalupe fur seal",0.2,0,0,0.2,0
2009,"Harbor seal",0.0946643717728055,0.00516351118760757,0.00688468158347676,0.00860585197934595,0.0602409638554217
2009,"Northern elephant seal",0.185185185185185,0,0.037037037037037,0.0740740740740741,0.0740740740740741
2009,"Northern fur seal",0.666666666666667,0,0,0.666666666666667,0
2009,"Steller sea lion",0.151898734177215,0,0.126582278481013,0.0253164556962025,0.0126582278481013
2009,"Unidentified",0.0461538461538462,0,0.0153846153846154,0.0307692307692308,0
2010,"California sea lion",0.117788461538462,0,0.0745192307692308,0.0168269230769231,0.03125
2010,"Guadalupe fur seal",0.2,0,0,0.2,0
2010,"Harbor seal",0.118012422360248,0.0031055900621118,0.015527950310559,0.0139751552795031,0.0916149068322981
2010,"Northern elephant seal",0.222222222222222,0,0.111111111111111,0,0.111111111111111
2010,"Northern fur seal",0,0,0,0.5,0
2010,"Steller sea lion",0.142857142857143,0,0.0909090909090909,0.038961038961039,0.012987012987013
2010,"Unidentified",0.0533333333333333,0,0,0.04,0.0133333333333333
2011,"California sea lion",0.147651006711409,0.0134228187919463,0.0335570469798658,0.0268456375838926,0.10738255033557
2011,"Guadalupe fur seal",0.1875,0,0,0.0625,0.125
