"Year.of.Observation","Pinniped.Common.Name","cnt_all","strand_anom","cnt_HI","mean_HI","strand_anom_HI","MEI","NPGO","PDO","SST_39","SST_44","Upwelling_39","Upwelling_45","Wind_39","Wind_44","SST_39_anom","SST_44_anom","CBA_North","CBA_South"
2012,"Steller sea lion",74,40.7692307692308,19,9.05882352941176,9.94117647058824,0.169166666666667,1.4765224,-1.1,11.5450833333333,11.54,102.981908333333,-46.621225,-2.62314166666667,1.83901057142857,-0.350248394648829,-0.442519717628228,0.260649278333333,-0.0567414975
2013,"California sea lion",101,20.5357142857143,35,12.96,22.04,-0.103583333333333,0.34436469,-0.5175,11.3266666666667,11.7335833333333,151.065383333333,0.634033333333333,-3.83557583333333,-0.875774416666667,-0.568665061315496,-0.248936384294895,0.276065699333333,-0.209440803333333
2013,"Harbor seal",89,20.0357142857143,15,7.30769230769231,7.69230769230769,-0.103583333333333,0.34436469,-0.5175,11.3266666666667,11.7335833333333,151.065383333333,0.634033333333333,-3.83557583333333,-0.875774416666667,-0.568665061315496,-0.248936384294895,0.276065699333333,-0.209440803333333
2013,"Steller sea lion",70,36.7692307692308,19,9.05882352941176,9.94117647058824,-0.103583333333333,0.34436469,-0.5175,11.3266666666667,11.7335833333333,151.065383333333,0.634033333333333,-3.83557583333333,-0.875774416666667,-0.568665061315496,-0.248936384294895,0.276065699333333,-0.209440803333333
2014,"California sea lion",94,13.5357142857143,23,12.96,10.04,0.491666666666667,-0.251159114166667,1.13083333333333,13.16075,12.4470833333333,97.0734083333333,-32.4760166666667,-1.97883,-0.1809957,1.26541827201784,0.464563615705107,-0.351969953333333,0.183861666916667
2014,"Harbor seal",95,26.0357142857143,8,7.30769230769231,0.692307692307693,0.491666666666667,-0.251159114166667,1.13083333333333,13.16075,12.4470833333333,97.0734083333333,-32.4760166666667,-1.97883,-0.1809957,1.26541827201784,0.464563615705107,-0.351969953333333,0.183861666916667
2014,"Steller sea lion",64,30.7692307692308,16,9.05882352941176,6.94117647058824,0.491666666666667,-0.251159114166667,1.13083333333333,13.16075,12.4470833333333,97.0734083333333,-32.4760166666667,-1.97883,-0.1809957,1.26541827201784,0.464563615705107,-0.351969953333333,0.183861666916667
2015,"California sea lion",158,77.5357142857143,43,12.96,30.04,1.63758333333333,-1.39691805,1.63416666666667,12.748875,13.0754166666667,91.819675,-19.0296583333333,-2.8482025,-1.23257833333333,0.994586366360089,1.09289694903844,-0.8661687205,0.4530682225
2015,"Harbor seal",117,48.0357142857143,20,7.30769230769231,12.6923076923077,1.63758333333333,-1.39691805,1.63416666666667,12.748875,13.0754166666667,91.819675,-19.0296583333333,-2.8482025,-1.23257833333333,0.994586366360089,1.09289694903844,-0.8661687205,0.4530682225
2015,"Steller sea lion",78,44.7692307692308,18,9.05882352941176,8.94117647058824,1.63758333333333,-1.39691805,1.63416666666667,12.748875,13.0754166666667,91.819675,-19.0296583333333,-2.8482025,-1.23257833333333,0.994586366360089,1.09289694903844,-0.8661687205,0.4530682225
2016,"California sea lion",155,74.5357142857143,25,12.96,12.04,0.896,-0.0616944364166667,1.5425,12.3861666666667,13.0293333333333,83.759675,-55.372625,-1.67022833333333,1.09313381818182,1.15397914251208,1.04681361570511,-0.7556399875,0.44340868
2016,"Harbor seal",128,59.0357142857143,15,7.30769230769231,7.69230769230769,0.896,-0.0616944364166667,1.5425,12.3861666666667,13.0293333333333,83.759675,-55.372625,-1.67022833333333,1.09313381818182,1.15397914251208,1.04681361570511,-0.7556399875,0.44340868
2016,"Steller sea lion",54,20.7692307692308,17,9.05882352941176,7.94117647058824,0.896,-0.0616944364166667,1.5425,12.3861666666667,13.0293333333333,83.759675,-55.372625,-1.67022833333333,1.09313381818182,1.15397914251208,1.04681361570511,-0.7556399875,0.44340868
