"National.Database.Number","Field.Number","Common.Name","Genus","Species","Affiliation","Country","City","County","State","Locality.Detail","Latitude","Longitude","Restrand","Findings.of.Human.Interaction","Boat.Collision","Shot","Fishery.Interaction","Other.Human.Interaction","Other.Human.Int.Description","Gear.Collection.Flag","Gear.Disposition.Flag","Other.Findings.upon.Level.Y.N","Other.Findings...Illness.Flag","Other.Findings...Injury.Flag","Other.Findings...Pregnant.Flag","Year.of.Observation","Month.of.Observation","Day.of.Observation","How.Observed","Observation.Status","Disentangled.Flag","Sick.Flag","Injured.Flag","Out.of.Habitat.Flag","Abandoned.Orphaned.Flag","Location.Hazardous.to.Animal","Location.Hazardous.Public","Entangled.Flag","Sex","Age.Class","Length","Length.Units","Weight","Weight.Units","Necropsied.Flag","City...from.strandings.table","Mammal.Type","Interaction.Type","Pinniped.Common.Name"
"NW-2006-1065443","WDFW0506-03","Sea lion, Steller","Eumetopias","jubatus","WDFW Marine Mammal Investigations","United States","Grayland","Grays Harbor","WA","100 yds N Grayland Beach Rd Ocean Beach Access",46.8056,-124.1006,"N","CBD","N","N","N","N",NA,NA,NA,NA,"N","N",NA,2006,"MAY",24,"Beach or Land","ADVANCED DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",240,"cm",400,"kg","Y",NA,"Pinniped","NA","Steller sea lion"
"NW-2014-1170904","WDFW2014-007 U176","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Grayland","Grays Harbor","WA","Grayland",46.8105,-124.1007,"N","Y","N","Y","N","N",NA,NA,NA,NA,NA,NA,NA,2014,"MAY",4,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Adult",220,"cm",350,"kg","Y",NA,"Pinniped","Gunshot","California sea lion"
"NW-2011-1142234","WDFW2011-174","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Grayland","Pacific","WA","Just S. of beach access",46.7922,-124.101,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2011,"OCT",29,"Beach or Land","ADVANCED DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Subadult",210,"cm",210,"kg","N",NA,"Pinniped","NA","California sea lion"
"NW-2013-1152434","WDFW2013-029","Sea lion, California","Zalophus","californianus","Washington Department of Fish and Wildlife",NA,"Grayland","Pacific","WA","1/4 mile south of county line",46.7894,-124.1011,"N","CBD","N","N","N","N",NA,NA,NA,"Y","Y","Y","N",2013,"APR",20,"Beach or Land","ALIVE","N","Y","N","N","N","N","N",NA,"Male","Subadult",181,"cm",200,"kg","Y",NA,"Pinniped","NA","California sea lion"
"NW-2010-1132425","WDFW2010-150","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Grayland","Pacific","WA","200 yards South of Grayland",46.805,-124.1011,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2010,"SEP",17,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",230,"cm",300,"kg","N",NA,"Pinniped","NA","California sea lion"
"NW-2008-1085951","WDFW2008-083","Sea lion, Steller","Eumetopias","jubatus","WDFW/MMI",NA,"Grayland","Grays Harbor","WA","S of Grayland Beach Rd",46.8041,-124.1012,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2008,"JUL",5,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",78,"in",400,"kg","N",NA,"Pinniped","NA","Steller sea lion"
"NW-2010-1132512","WDFW2010-058","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Grayland","Pacific","WA","1/2 mile N of Midway, Twin Harbors",46.782,-124.1014,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2010,"MAY",6,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Adult",173,"cm",NA,NA,"N",NA,"Pinniped","NA","Harbor seal"
"NW-2012-1152507","WDFW2012-092","Seal, Guadalupe fur","Arctocephalus","townsendi","WDFW/MMI",NA,"Grayland","Grays Harbor","WA",NA,46.8073,-124.1014,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2012,"JUN",21,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Yearling",96,"cm",10,"kg","Y",NA,"Pinniped","NA","Guadalupe fur seal"
"NW-2008-1086089","WDFW2008-112","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Grayland","Pacific","WA","1 mile south of county line",46.81,-124.1014,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2008,"SEP",21,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Adult",150,"cm",60,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2007-1072795","WDFW0507-04","Sea lion, Steller","Eumetopias","jubatus","WDFW Marine Mammal Investigations","United States","Grayland","Grays Harbor","WA","1/2 mile from Cranberry beach Access, Midway beach",46.7787,-124.1021,"N","N","N","N","N","N",NA,NA,NA,"Y",NA,"Y",NA,2007,"MAY",14,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Adult",237,"cm",220,"kg","Y",NA,"Pinniped","NA","Steller sea lion"
"NW-2013-1152447","WDFW2013-047","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Grayland","Grays Harbor","WA","Midway Beach, Grayland WA",46.7753,-124.1024,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2013,"JUN",14,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Pup",71,"cm",7,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2011-1142154","WDFW2011-060","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Grayland","Grays Harbor","WA","1/4 mile north of Grayland Beach",46.8091,-124.1026,"N","Y","N","N","N","Y",NA,NA,NA,"Y","Y","N",NA,2011,"JUN",23,"Beach or Land","ALIVE","N","Y","N","N","N","N","N",NA,"Male","Adult",160,"cm",70,"kg","Y",NA,"Pinniped","Other","Harbor seal"
"NW-2007-1078097","WDFW0907-25","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations",NA,"Grayland","Grays Harbor","WA","County line",46.7733,-124.1029,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2007,"SEP",22,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Adult",150,"cm",80,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2009-1104443","WDFW2009-071","Seal, northern elephant","Mirounga","angustirostris","WDFW/MMI",NA,"Grayland","Grays Harbor","WA","Grayland by Snowy Plover sign",46.7753,-124.1033,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2009,"AUG",16,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Subadult",156,"cm",150,"kg","Y",NA,"Pinniped","NA","Northern elephant seal"
"NW-2011-1142286","WDFW2011-078","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Grayland","Grays Harbor","WA","1/4 mile N. of beach access",46.814,-124.1036,"N","Y","N","N","N","Y",NA,NA,NA,"Y",NA,"Y",NA,2011,"JUL",3,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Pup",70,"cm",4.5,"kg","Y",NA,"Pinniped","Other","California sea lion"
"NW-2007-1072801","WDFW0507-09","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations","United States","Grayland","Grays Harbor","WA","Just N of county line Grayland",46.7669,-124.1037,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2007,"MAY",19,"Beach or Land","ALIVE","N","N","N","N","Y","N","N",NA,"Female","Pup",80,"cm",8,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1132424","WDFW2010-148","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Grayland","Grays Harbor","WA","1/2 mile North of Grayland Beach Road",46.815,-124.1038,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2010,"SEP",17,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",230,"cm",300,"kg","N",NA,"Pinniped","NA","California sea lion"
"NW-2012-1142246","WDFW2012-007","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Grayland","Grays Harbor","WA","0.5 miles N Grayland Beach",46.806,-124.104,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2012,"JAN",7,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",262,"cm",250,"kg","N",NA,"Pinniped","NA","California sea lion"
"NW-2010-1132513","WDFW2010-061","Seal, Northern fur","Callorhinus","ursinus","WDFW/MMI",NA,"Grayland","Grays Harbor","WA","Just North of Midway Beach",46.7711,-124.1049,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2010,"MAY",9,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Female","Subadult",125,"cm",30,"kg","Y",NA,"Pinniped","NA","Northern fur seal"
"NW-2011-1142182","WDFW2011-026","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Grayland","Grays Harbor","WA","300 yards South of Midway",46.7606,-124.1053,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2011,"MAY",9,"Beach or Land","ADVANCED DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",221,"cm",200,"kg","Y",NA,"Pinniped","NA","California sea lion"
"NW-2011-1142205","WDFW2011-145","Seal, northern elephant","Mirounga","angustirostris","WDFW/MMI",NA,"Grayland","Grays Harbor","WA","North of Grayland",46.818,-124.107,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2011,"SEP",30,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Subadult",220,"cm",100,"kg","N",NA,"Pinniped","NA","Northern elephant seal"
"NW-2029-1093957","WDFW2009-020","Sea lion, Steller","Eumetopias","jubatus","WDFW/MMI","United States","Grayland","Grays Harbor","WA","half a mile south a cranberry beach",46.8465,-124.1118,"N","CBD","N","N","N","N",NA,"N",NA,"Y","N","Y","N",2009,"MAR",9,NA,"FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Adult",220,"cm",250,"kg","N",NA,"Pinniped","NA","Steller sea lion"
"NW-2011-1142109","WDFW2011-180","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Grayland","Grays Harbor","WA","0.1 m north of W. Bonge Ave.",46.7711,-124.1049,"N","CBD","N","N","N","N",NA,NA,NA,"Y",NA,"Y",NA,2011,"NOV",1,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Subadult",150,"cm",157,"kg","Y",NA,"Pinniped","NA","California sea lion"
"NW-2011-1142191","WDFW2011-130","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Grayland","Grays Harbor","WA","Grayland; 1/2 mile north of W. Bonge Ave.",46.853,-124.115,"N","CBD","N","N","N","N",NA,NA,NA,"Y",NA,"Y",NA,2011,"SEP",16,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Subadult",190,"cm",200,"kg","Y",NA,"Pinniped","NA","California sea lion"
"NW-2007-1072845","WDFW0807-03","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations","United States","Grayland","Grays Harbor","WA","just N (~1mi) of county line",46.7711,-124.1049,"N","Y","N","N","N","Y",NA,NA,NA,"Y",NA,"Y",NA,2007,"AUG",12,"Beach or Land","ALIVE","N","N","N","N","N","N","N",NA,"Male","Subadult",144,"cm",46,"kg","Y",NA,"Pinniped","Other","Harbor seal"
"NW-2007-1072853","WDFW0607-26","Sea lion, Steller","Eumetopias","jubatus","WDFW Marine Mammal Investigations","United States","Grayland","Grays Harbor","WA","just north of county line beach access",46.7711,-124.1049,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2007,"JUN",22,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",286,"cm",1300,"lb","Y",NA,"Pinniped","NA","Steller sea lion"
"NW-2005-1056769","WDFW0905-06","Seal, harbor","Phoca","vitulina","Washington Department of Fish and Wildlife","United States","Hadlock","Jefferson","WA","Kala Point, Port Hadlock",NA,NA,"N","CBD","N","N","N","N",NA,"N",NA,"CBD","N","N",NA,2005,"SEP",21,NA,"MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Unid",24,"in",NA,NA,"N",NA,"Pinniped","NA","Harbor seal"
"NW-2009-1104287","WDFW2009-122","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Hansville","Kitsap","WA","Norwegian Park",47.912,-122.256,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2009,"NOV",8,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Pup",90,"cm",15,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2008-1085953","WDFW2008-084","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Hansville","Kitsap","WA","Point No Point Lighthouse",47.9073,-122.5227,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2008,"JUL",2,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Unid",48,"in",0,NA,"N",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1120877","WDFW2010-006","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Hansville","Kitsap","WA","Point-No-Point",47.912,-122.5259,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2010,"JAN",11,"Beach or Land","ALIVE","N","N","N","N","N","N","N",NA,"Female","Yearling",87,"cm",13,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1132442","WDFW2010-160","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Hansville","Kitsap","WA","Between Point No Point and Hansville General Store",47.9121,-122.5259,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2010,"SEP",15,"Beach or Land","DEAD - CONDITION UNKNOWN","N","N","N","N","N","N","N",NA,"Unid","Pup",80,"cm",8,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2013-1154554","WDFW2013-112","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Hansville","Kitsap","WA","Point no Point Park",47.912,-122.526,"N","Y","N","N","N","Y",NA,NA,NA,NA,NA,"N",NA,2013,"DEC",10,"Beach or Land","ALIVE","N","N","Y","N","N","N","N",NA,"Unid","Pup",90,"cm",15,"kg","N",NA,"Pinniped","Other","Harbor seal"
"NW-2015-1182246","WDFW2015-085","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Hansville","Kitsap","WA","Point No Point Lighthouse",47.912,-122.526,"N","CBD","N","N","N","N",NA,NA,NA,"Y",NA,"Y",NA,2015,"SEP",24,"Beach or Land","ALIVE","N","N","Y","N","N","N","N",NA,"Male","Pup",95,"cm",12,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2012-1152617","WDFW2012-211","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Hansville","Kitsap","WA","Point no point",47.9119,-122.5262,"N","CBD","N","N","N","N",NA,NA,NA,"Y",NA,"Y",NA,2012,"DEC",1,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Pup",90,"cm",12,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2011-1142323","WDFW2011-115","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Hansville","Kitsap","WA",".5 mi south of lighthouse",47.9085,-122.5271,"N","CBD","N","N","N","N",NA,NA,NA,"Y",NA,"Y",NA,2011,"SEP",1,"Beach or Land","ALIVE","N","N","N","N","N","N","N",NA,"Female","Pup",91,"cm",18,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2014-1170902","WDFW2014-026","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Hansville","Kitsap","WA","Point no Point North side",47.911,-122.53,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2014,"SEP",18,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Pup",90,"cm",15,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2015-1182240","WDFW2015-079","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Hansville","Kitsap","WA","County park",47.917,-122.545,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2015,"SEP",15,NA,"MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Female","Pup",95,"cm",15,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2014-1170933","WDFW2014-047","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Hansville","Kitsap","WA","Point no Point",47.935,-122.618,"N","Y","N","N","N","N",NA,NA,NA,"Y",NA,"Y",NA,2014,"OCT",10,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Adult",140,"cm",60,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2015-1182264","WDFW2015-106","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Hansville","Kitsap","WA","2 1/2 miles west of 5020 Admiralty Way",47.9234,-122.9352,"N","CBD","N","N","N","N",NA,NA,NA,"Y",NA,"Y","N",2015,"NOV",10,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",217,"cm",250,"kg","Y",NA,"Pinniped","NA","California sea lion"
"NW-2004-1002287","WDFW0304-01","Seal, harbor","Phoca","vitulina","Washington Department of Fish and Wildlife","United States","Harstene Island","Kitsap","WA","West side of Harstene Island",NA,NA,NA,"CBD","N","N","N","N","Possibly Shot",NA,NA,"CBD",NA,NA,NA,2004,"MAR",1,NA,"ADVANCED DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",154,"cm",90,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2007-1078113","WDFW1007-10","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations",NA,"Hat Island","Skagit","WA","W. side Hat island floating just off Haul out",48.5201,-122.561,"N","Y","N","N","N","Y",NA,NA,NA,NA,NA,"N",NA,2007,"OCT",23,"Floating","FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Pup",86,"cm",15,"kg","Y",NA,"Pinniped","Other","Harbor seal"
"NW-2007-1078115","WDFW1007-11","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations",NA,"Hat Island","Skagit","WA","W side Hat island",48.5201,-122.561,"N","Y","N","N","N","Y",NA,NA,NA,NA,NA,"N",NA,2007,"OCT",24,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Pup",90,"cm",18,"kg","Y",NA,"Pinniped","Other","Harbor seal"
"NW-2004-1040573","WDFW0304-04","Seal, harbor","Phoca","vitulina","Washington Department of Fish and Wildlife","United States","Heron Island","Thurston","WA","1704 W. Heron Island, Case Inlet",48.621,-123.1795,NA,"CBD","N","N","N","N",NA,NA,NA,"CBD",NA,NA,NA,2004,"MAR",7,"Beach or Land","ALIVE","N","Y","N","N","N","N","N",NA,"Unid","Adult",48,"in",NA,NA,"N",NA,"Pinniped","NA","Harbor seal"
"NW-2015-1182230","WDFW2015-067","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Herron Island","Pierce","WA","SE side Herron Island near ferry",47.267,-122.827,"N","CBD","N","N","N","N",NA,NA,NA,"Y",NA,"Y",NA,2015,"AUG",12,"Beach or Land","ALIVE","N","N","N","N","N","N","N",NA,"Unid","Pup",80,"cm",9,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2015-1182249","WDFW2015-089","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Herron Island","Pierce","WA","Ferry Landing Just north",47.268,-122.827,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2015,"SEP",28,"Beach or Land","ALIVE","N","N","N","N","Y","N","N",NA,"Unid","Pup",85,"cm",10,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2012-1152464","WDFW2012-128","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Holly","Kitsap","WA","Holly beach",47.5585,-122.979,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N","N",2012,"AUG",12,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Pup",75,"cm",7,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2006-1065405","WDFW0706-09","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations","United States","Home","Pierce","WA","1602 Von- Glendren RD,",48.0191,-122.755,"N","CBD","N","N","N","N",NA,"N",NA,NA,"N","N",NA,2006,"JUL",21,NA,"MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Pup",90,"cm",10,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2005-1047727","WDFW0505-07","Seal, harbor","Phoca","vitulina","Washington Department of Fish and Wildlife","United States","Hood Canal","Mason","WA","51 E. Sunset Beach",47.854,-122.6045,"N","CBD","N","N","N","N",NA,"N",NA,"N","N","Y",NA,2005,"MAY",19,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Subadult",120,"cm",38,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2015-1179504","WDFW2015-015","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Hoquim","Grays Harbor","WA","1380 Airport way",46.9329,-123.995,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2015,"FEB",16,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",230,"cm",200,"kg","N",NA,"Pinniped","NA","California sea lion"
"NW-2005-1047825","WDFW0505-14","Seal, harbor","Phoca","vitulina","Washington Department of Fish and Wildlife","United States","Hoquim","Grays Harbor","WA","north of Hoquim Old rainer pier",NA,NA,"N","CBD","N","N","N","N",NA,"N",NA,"CBD","N","N",NA,2005,"MAY",23,"Beach or Land","ALIVE","N","N","N","N","N","N","N",NA,"Unid","Pup",80,"cm",NA,NA,"NA",NA,"Pinniped","NA","Harbor seal"
"NW-2007-1078085","WDFW0907-21","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations",NA,"Indianola","Kitsap","WA","8569 NE Rainer, Indianola",47.7402,-122.4759,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2007,"SEP",30,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Pup",80,"cm",12,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1132484","WDFW2010-123","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Indianola","Kitsap","WA","10635 Northeast Shore Road",47.7442,-122.5014,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2010,"AUG",28,"Beach or Land","ALIVE","N","N","N","N","N","N","N",NA,"Unid","Pup",80,"cm",8,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2007-1078155","WDFW1107-12","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations",NA,"Indianola","Kitsap","WA","10635 NE Shore Dr. Camp Indianola",47.7403,-122.5095,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2007,"NOV",7,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Pup",80,"cm",100,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2007-1078107","WDFW1007-07","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations",NA,"Indianola","Kitsap","WA","Down town Indianola, 100 yard N of pullout",47.7411,-122.522,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2007,"OCT",3,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Pup",85,"cm",12,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1142120","WDFW2010-206","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Indianola","Kitsap","WA","Shore and Division intersection",47.7467,-122.524,"N","Y","N","Y","N","N",NA,NA,NA,NA,NA,NA,NA,2010,"DEC",29,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",243,"cm",300,"kg","Y",NA,"Pinniped","Gunshot","California sea lion"
"NW-2010-1132412","WDFW2010-206","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Indianola","Kitsap","WA","Shore and Division intersection",47.7467,-122.524,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2010,"DEC",29,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",243,"cm",300,"kg","Y",NA,"Pinniped","NA","California sea lion"
"NW-2010-1132413","WDFW2010-207","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Indianola","Kitsap","WA","Shore and Division intersection",47.7467,-122.524,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2010,"DEC",29,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Pup",85,"cm",16,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2009-1120863","WDFW2009-139","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Indianola","Kitsap","WA",NA,47.747,-122.5256,"N","Y","N","N","N","Y",NA,NA,NA,NA,NA,"N",NA,2009,"DEC",15,"Beach or Land","DEAD - CONDITION UNKNOWN","N","N","N","N","N","N","N",NA,"Female","Pup",80,"cm",12,"kg","N",NA,"Pinniped","Other","Harbor seal"
"NW-2008-1086031","WDFW2008-125","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Indianola","Kitsap","WA","just west of staircase Shore Dr.",47.7467,-122.5261,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2008,"NOV",2,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Pup",90,"cm",15,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2009-1104291","WDFW2009-124","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Indianola","Kitsap","WA","Western Ave. Indianola",47.747,-122.536,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2009,"NOV",8,"Beach or Land","ALIVE","N","N","N","N","N","N","N",NA,"Male","Pup",92,"cm",19.5,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2009-1104561","WDFW2009-057","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Indianola","Kitsap","WA","8291 Seaview Ave.",47.7484,-122.5379,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2009,"JUL",10,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Adult",150,"cm",70,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2007-1072821","WDFW0607-06","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations","United States","Indianola","Kitsap","WA","7159 N.E. Williams Roger Rd",47.741,-122.551,"N","N","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2007,"JUN",5,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Yearling",100,"cm",20,"kg","N",NA,"Pinniped","NA","Harbor seal"
