"Month.of.Observation","Date","MEI","NPGO","NOI","SST_39","SST_44","Upwelling_39","Upwelling_45","Wind_39","Wind_44","ENSO_cat","Year.of.Observation","SST_39_anom","SST_44_anom","Date_lag1","Date_lag2","Date_lag3"
"MAY",2016-05-01,1.752,-0.6821762,0.272,11.584,13.303,210.3533,41.3099,-3.36398,-4.995475,"El Nino",2016,0.691272727272727,0.839272727272729,2016-05-01,2016-05-01,2016-05-01
"MAY",2009-05-01,0.326,0.5548924,1.11,9.912,10.874,190.2336,3.2407,-4.39315,-1.883737,"El Nino",2009,-0.980727272727272,-1.58972727272727,2009-05-01,2009-05-01,2009-05-01
"MAY",2013-05-01,0.205,0.8523294,1.356,10.91,11.733,183.9128,9.3158,-4.90175,0.115457,"El Nino",2013,0.0172727272727276,-0.730727272727272,2013-05-01,2013-05-01,2013-05-01
"NOV",2003-11-01,0.584,-0.11436786,-0.763,11.894,11.731,-46.241,-84.0395,0.07611,1.895271,"El Nino",2003,-0.764083333333334,-0.201333333333332,2003-11-01,2003-11-01,2003-11-01
"NOV",2012-11-01,0.141,1.4016486,-2.34,14.626,12.167,-91.4321,-152.2584,0.79026,4.90533,"El Nino",2012,1.96791666666667,0.234666666666667,2012-11-01,2012-11-01,2012-11-01
"NOV",2008-11-01,-0.584,1.9697901,2.515,12.803,12.332,13.0659,-75.6299,-1.0675,2.964575,"La Nina",2008,0.144916666666667,0.399666666666668,2008-11-01,2008-11-01,2008-11-01
"NOV",2004-11-01,0.818,-0.44177726,4.444,12.76,11.46,98.1905,-8.3825,-2.99624,-0.385774,"El Nino",2004,0.101916666666666,-0.472333333333331,2004-11-01,2004-11-01,2004-11-01
"NOV",2007-11-01,-1.149,0.72844106,3.971,12.049,11.136,63.5586,-43.6681,-2.07503,0.159414,"La Nina",2007,-0.609083333333334,-0.796333333333333,2007-11-01,2007-11-01,2007-11-01
"NOV",2005-11-01,-0.374,-1.6610364,3.332,12.412,11.756,38.9511,-43.6884,-2.07191,1.146592,"La Nina",2005,-0.246083333333333,-0.176333333333332,2005-11-01,2005-11-01,2005-11-01
"NOV",2013-11-01,-0.042,-0.804566,0.144,12.924,11.609,63.6356,-29.1229,-2.31289,0.536857,"La Nina",2013,0.265916666666666,-0.323333333333332,2013-11-01,2013-11-01,2013-11-01
"NOV",2015-11-01,2.3,-2.253835,2.093,13.157,13.315,52.0574,-46.6197,-2.88653,1.748675,"El Nino",2015,0.498916666666666,1.38266666666667,2015-11-01,2015-11-01,2015-11-01
"NOV",2009-11-01,1.134,1.0545827,1.02,11.965,12.078,35.0817,-149.704,-2.02653,4.638881,"El Nino",2009,-0.693083333333334,0.145666666666667,2009-11-01,2009-11-01,2009-11-01
