Date,Upwelling_39
1987-03-01T00:00:00Z,-77.4389
1987-04-01T00:00:00Z,38.8817
1987-05-01T00:00:00Z,100.8079
1987-06-01T00:00:00Z,94.8188
1987-07-01T00:00:00Z,89.4469
1987-08-01T00:00:00Z,110.1387
1987-09-01T00:00:00Z,77.1263
1987-10-01T00:00:00Z,32.0538
1987-11-01T00:00:00Z,-31.318
1987-12-01T00:00:00Z,-48.9991
1988-01-01T00:00:00Z,-56.7754
1988-02-01T00:00:00Z,64.5096
1988-03-01T00:00:00Z,63.5848
1988-04-01T00:00:00Z,21.554
1988-05-01T00:00:00Z,46.8701
1988-06-01T00:00:00Z,83.0838
1988-07-01T00:00:00Z,117.4173
1988-08-01T00:00:00Z,98.3895
1988-09-01T00:00:00Z,96.8269
1988-10-01T00:00:00Z,36.6132
1988-11-01T00:00:00Z,-16.3663
1988-12-01T00:00:00Z,53.5713
1989-01-01T00:00:00Z,43.4233
1989-02-01T00:00:00Z,20.9377
1989-03-01T00:00:00Z,-60.3502
1989-04-01T00:00:00Z,31.9483
1989-05-01T00:00:00Z,79.9911
1989-06-01T00:00:00Z,85.6068
1989-07-01T00:00:00Z,143.6646
1989-08-01T00:00:00Z,112.0781
1989-09-01T00:00:00Z,51.1964
1989-10-01T00:00:00Z,31.9237
1989-11-01T00:00:00Z,45.4226
1989-12-01T00:00:00Z,31.3082
1990-01-01T00:00:00Z,15.8478
1990-02-01T00:00:00Z,27.1459
1990-03-01T00:00:00Z,24.3122
1990-04-01T00:00:00Z,55.6741
1990-05-01T00:00:00Z,85.2798
1990-06-01T00:00:00Z,74.7587
1990-07-01T00:00:00Z,74.439
1990-08-01T00:00:00Z,37.9325
1990-09-01T00:00:00Z,46.8605
1990-10-01T00:00:00Z,75.8158
1990-11-01T00:00:00Z,41.1261
1990-12-01T00:00:00Z,54.8134
1991-01-01T00:00:00Z,-3.395
1991-02-01T00:00:00Z,-66.3532
1991-03-01T00:00:00Z,20.557
1991-04-01T00:00:00Z,55.3771
1991-05-01T00:00:00Z,131.4199
1991-06-01T00:00:00Z,173.6921
1991-07-01T00:00:00Z,123.4873
1991-08-01T00:00:00Z,40.4406
1991-09-01T00:00:00Z,80.5716
1991-10-01T00:00:00Z,76.622
1991-11-01T00:00:00Z,39.5068
1991-12-01T00:00:00Z,-23.7251
1992-01-01T00:00:00Z,-50.7698
1992-02-01T00:00:00Z,-104.0565
1992-03-01T00:00:00Z,-3.9912
1992-04-01T00:00:00Z,4.2866
1992-05-01T00:00:00Z,132.2617
1992-06-01T00:00:00Z,114.6126
1992-07-01T00:00:00Z,82.1397
1992-08-01T00:00:00Z,81.5611
1992-09-01T00:00:00Z,78.6455
1992-10-01T00:00:00Z,24.4055
1992-11-01T00:00:00Z,18.0295
1992-12-01T00:00:00Z,22.6684
1993-01-01T00:00:00Z,-24.263
1993-02-01T00:00:00Z,-65.1899
1993-03-01T00:00:00Z,-20.2891
1993-04-01T00:00:00Z,17.5247
1993-05-01T00:00:00Z,-28.1669
1993-06-01T00:00:00Z,138.109
1993-07-01T00:00:00Z,168.363
1993-08-01T00:00:00Z,125.9593
1993-09-01T00:00:00Z,81.8375
1993-10-01T00:00:00Z,23.4862
1993-11-01T00:00:00Z,58.9534
1993-12-01T00:00:00Z,-47.1615
1994-01-01T00:00:00Z,-13.4808
1994-02-01T00:00:00Z,-16.7683
1994-03-01T00:00:00Z,20.7789
1994-04-01T00:00:00Z,82.7189
1994-05-01T00:00:00Z,92.4802
1994-06-01T00:00:00Z,104.426
1994-07-01T00:00:00Z,167.9618
1994-08-01T00:00:00Z,106.979
1994-09-01T00:00:00Z,62.7157
1994-10-01T00:00:00Z,85.2593
1994-11-01T00:00:00Z,38.1769
1994-12-01T00:00:00Z,-50.2108
1995-01-01T00:00:00Z,-282.4014
1995-02-01T00:00:00Z,-5.713
1995-03-01T00:00:00Z,-50.8083
1995-04-01T00:00:00Z,43.6716
1995-05-01T00:00:00Z,127.8448
1995-06-01T00:00:00Z,120.2652
1995-07-01T00:00:00Z,88.8624
1995-08-01T00:00:00Z,142.7865
1995-09-01T00:00:00Z,60.9588
1995-10-01T00:00:00Z,106.2776
1995-11-01T00:00:00Z,4.6249
1995-12-01T00:00:00Z,-84.5876
1996-01-01T00:00:00Z,-17.9701
1996-02-01T00:00:00Z,-45.7142
1996-03-01T00:00:00Z,58.3053
1996-04-01T00:00:00Z,15.6094
1996-05-01T00:00:00Z,120.9576
1996-06-01T00:00:00Z,182.8316
1996-07-01T00:00:00Z,154.0869
1996-08-01T00:00:00Z,139.2181
1996-09-01T00:00:00Z,108.7171
1996-10-01T00:00:00Z,63.9296
1996-11-01T00:00:00Z,2.9003
1996-12-01T00:00:00Z,-94.8416
1997-01-01T00:00:00Z,-40.2084
1997-02-01T00:00:00Z,110.1646
1997-03-01T00:00:00Z,112.5545
1997-04-01T00:00:00Z,138.9301
1997-05-01T00:00:00Z,50.8643
1997-06-01T00:00:00Z,273.3372
1997-07-01T00:00:00Z,190.4364
1997-08-01T00:00:00Z,87.4284
1997-09-01T00:00:00Z,88.5355
1997-10-01T00:00:00Z,105.3261
1997-11-01T00:00:00Z,-37.8507
1997-12-01T00:00:00Z,-30.066
1998-01-01T00:00:00Z,-114.4965
1998-02-01T00:00:00Z,-240.172
1998-03-01T00:00:00Z,64.6095
1998-04-01T00:00:00Z,98.4864
1998-05-01T00:00:00Z,27.8624
1998-06-01T00:00:00Z,201.716
1998-07-01T00:00:00Z,196.6803
1998-08-01T00:00:00Z,240.3564
1998-09-01T00:00:00Z,131.7489
1998-10-01T00:00:00Z,76.4953
1998-11-01T00:00:00Z,-116.8187
1998-12-01T00:00:00Z,85.4714
1999-01-01T00:00:00Z,45.1969
1999-02-01T00:00:00Z,-80.4642
1999-03-01T00:00:00Z,4.2659
1999-04-01T00:00:00Z,303.4626
1999-05-01T00:00:00Z,345.1626
1999-06-01T00:00:00Z,324.0128
1999-07-01T00:00:00Z,231.7661
1999-08-01T00:00:00Z,138.1575
1999-09-01T00:00:00Z,161.9507
1999-10-01T00:00:00Z,64.995
1999-11-01T00:00:00Z,-138.3826
1999-12-01T00:00:00Z,39.6248
2000-01-01T00:00:00Z,-56.5364
2000-02-01T00:00:00Z,-139.8682
2000-03-01T00:00:00Z,156.329
2000-04-01T00:00:00Z,32.6887
2000-05-01T00:00:00Z,176.3539
2000-06-01T00:00:00Z,202.8332
2000-07-01T00:00:00Z,232.0018
2000-08-01T00:00:00Z,268.4336
2000-09-01T00:00:00Z,117.6193
2000-10-01T00:00:00Z,91.3889
2000-11-01T00:00:00Z,37.7896
2000-12-01T00:00:00Z,-7.1742
2001-01-01T00:00:00Z,-47.0401
2001-02-01T00:00:00Z,-54.0718
2001-03-01T00:00:00Z,145.5372
2001-04-01T00:00:00Z,131.0277
2001-05-01T00:00:00Z,312.8924
2001-06-01T00:00:00Z,336.9276
2001-07-01T00:00:00Z,298.5313
2001-08-01T00:00:00Z,208.1692
2001-09-01T00:00:00Z,115.4726
2001-10-01T00:00:00Z,116.9474
2001-11-01T00:00:00Z,-55.8818
2001-12-01T00:00:00Z,-42.8813
2002-01-01T00:00:00Z,-35.6473
2002-02-01T00:00:00Z,-0.5093
2002-03-01T00:00:00Z,88.8709
2002-04-01T00:00:00Z,159.5626
2002-05-01T00:00:00Z,263.7209
2002-06-01T00:00:00Z,448.8212
2002-07-01T00:00:00Z,213.171
2002-08-01T00:00:00Z,201.8541
2002-09-01T00:00:00Z,86.105
2002-10-01T00:00:00Z,139.1258
2002-11-01T00:00:00Z,-38.9512
2002-12-01T00:00:00Z,-280.4601
2003-01-01T00:00:00Z,-117.2062
2003-02-01T00:00:00Z,62.8981
2003-03-01T00:00:00Z,-13.983
2003-04-01T00:00:00Z,-1.0366
2003-05-01T00:00:00Z,266.3612
2003-06-01T00:00:00Z,346.5649
2003-07-01T00:00:00Z,283.0269
2003-08-01T00:00:00Z,156.1878
2003-09-01T00:00:00Z,165.3744
2003-10-01T00:00:00Z,55.2387
2003-11-01T00:00:00Z,-46.241
2003-12-01T00:00:00Z,-112.8844
2004-01-01T00:00:00Z,-81.5002
2004-02-01T00:00:00Z,-97.0808
2004-03-01T00:00:00Z,109.6707
2004-04-01T00:00:00Z,72.016
2004-05-01T00:00:00Z,86.1121
2004-06-01T00:00:00Z,188.2307
2004-07-01T00:00:00Z,99.76
2004-08-01T00:00:00Z,72.9484
2004-09-01T00:00:00Z,129.2259
2004-10-01T00:00:00Z,40.2352
2004-11-01T00:00:00Z,98.1905
2004-12-01T00:00:00Z,3.9906
2005-01-01T00:00:00Z,-45.533
2005-02-01T00:00:00Z,0.8504
2005-03-01T00:00:00Z,15.6622
2005-04-01T00:00:00Z,87.9704
2005-05-01T00:00:00Z,74.5523
2005-06-01T00:00:00Z,197.1365
2005-07-01T00:00:00Z,158.1158
2005-08-01T00:00:00Z,131.4161
2005-09-01T00:00:00Z,121.8351
2005-10-01T00:00:00Z,69.2237
2005-11-01T00:00:00Z,38.9511
2005-12-01T00:00:00Z,-141.1844
2006-01-01T00:00:00Z,-18.2532
2006-02-01T00:00:00Z,43.2438
2006-03-01T00:00:00Z,-35.8389
2006-04-01T00:00:00Z,77.8645
2006-05-01T00:00:00Z,187.2317
2006-06-01T00:00:00Z,192.4128
2006-07-01T00:00:00Z,186.0568
2006-08-01T00:00:00Z,187.2537
2006-09-01T00:00:00Z,157.4348
2006-10-01T00:00:00Z,97.2565
2006-11-01T00:00:00Z,15.5851
2006-12-01T00:00:00Z,-14.1327
2007-01-01T00:00:00Z,90.2147
2007-02-01T00:00:00Z,29.024
2007-03-01T00:00:00Z,115.9049
2007-04-01T00:00:00Z,132.0192
2007-05-01T00:00:00Z,185.3527
2007-06-01T00:00:00Z,209.1233
2007-07-01T00:00:00Z,148.4023
2007-08-01T00:00:00Z,120.0857
2007-09-01T00:00:00Z,91.8116
2007-10-01T00:00:00Z,57.4057
2007-11-01T00:00:00Z,63.5586
2007-12-01T00:00:00Z,-21.7387
2008-01-01T00:00:00Z,-38.7029
2008-02-01T00:00:00Z,16.4288
2008-03-01T00:00:00Z,115.7752
2008-04-01T00:00:00Z,130.2347
2008-05-01T00:00:00Z,273.5483
2008-06-01T00:00:00Z,288.121
2008-07-01T00:00:00Z,167.3208
2008-08-01T00:00:00Z,182.9806
2008-09-01T00:00:00Z,105.7112
2008-10-01T00:00:00Z,113.2343
2008-11-01T00:00:00Z,13.0659
2008-12-01T00:00:00Z,30.4274
2009-01-01T00:00:00Z,52.4224
2009-02-01T00:00:00Z,-68.779
2009-03-01T00:00:00Z,109.9466
2009-04-01T00:00:00Z,170.7162
2009-05-01T00:00:00Z,190.2336
2009-06-01T00:00:00Z,171.9553
2009-07-01T00:00:00Z,146.651
2009-08-01T00:00:00Z,133.4058
2009-09-01T00:00:00Z,103.9553
2009-10-01T00:00:00Z,76.372
2009-11-01T00:00:00Z,35.0817
2009-12-01T00:00:00Z,-39.7486
2010-01-01T00:00:00Z,-183.2976
2010-02-01T00:00:00Z,-81.4372
2010-03-01T00:00:00Z,33.3549
2010-04-01T00:00:00Z,97.3965
2010-05-01T00:00:00Z,127.5269
2010-06-01T00:00:00Z,280.1967
2010-07-01T00:00:00Z,195.8654
2010-08-01T00:00:00Z,155.4346
2010-09-01T00:00:00Z,110.8307
2010-10-01T00:00:00Z,57.4747
2010-11-01T00:00:00Z,64.1102
2010-12-01T00:00:00Z,-108.4812
2011-01-01T00:00:00Z,35.384
2011-02-01T00:00:00Z,54.7637
2011-03-01T00:00:00Z,-76.367
2011-04-01T00:00:00Z,114.2945
2011-05-01T00:00:00Z,131.2312
2011-06-01T00:00:00Z,249.7771
2011-07-01T00:00:00Z,220.3048
2011-08-01T00:00:00Z,197.724
2011-09-01T00:00:00Z,119.9296
2011-10-01T00:00:00Z,72.4988
2011-11-01T00:00:00Z,-10.4267
2011-12-01T00:00:00Z,91.3103
2012-01-01T00:00:00Z,-8.3258
2012-02-01T00:00:00Z,78.4905
2012-03-01T00:00:00Z,-61.8093
2012-04-01T00:00:00Z,55.0543
2012-05-01T00:00:00Z,273.2722
2012-06-01T00:00:00Z,294.7062
2012-07-01T00:00:00Z,301.0382
2012-08-01T00:00:00Z,238.5427
2012-09-01T00:00:00Z,165.7925
2012-10-01T00:00:00Z,42.7518
2012-11-01T00:00:00Z,-91.4321
2012-12-01T00:00:00Z,-52.2983
2013-01-01T00:00:00Z,59.4666
2013-02-01T00:00:00Z,144.5721
2013-03-01T00:00:00Z,90.9275
2013-04-01T00:00:00Z,279.8581
2013-05-01T00:00:00Z,183.9128
2013-06-01T00:00:00Z,265.8537
2013-07-01T00:00:00Z,288.5924
2013-08-01T00:00:00Z,113.235
2013-09-01T00:00:00Z,86.0489
2013-10-01T00:00:00Z,132.3365
2013-11-01T00:00:00Z,63.6356
2013-12-01T00:00:00Z,104.3454
2014-01-01T00:00:00Z,31.7515
2014-02-01T00:00:00Z,-31.3558
2014-03-01T00:00:00Z,58.3447
2014-04-01T00:00:00Z,106.1267
2014-05-01T00:00:00Z,196.983
2014-06-01T00:00:00Z,387.6814
2014-07-01T00:00:00Z,220.6155
2014-08-01T00:00:00Z,182.7959
2014-09-01T00:00:00Z,94.305
2014-10-01T00:00:00Z,8.3674
2014-11-01T00:00:00Z,-4.1322
2014-12-01T00:00:00Z,-86.6022
2015-01-01T00:00:00Z,24.25
2015-02-01T00:00:00Z,-58.9713
2015-03-01T00:00:00Z,76.1593
2015-04-01T00:00:00Z,173.3118
2015-05-01T00:00:00Z,200.4047
2015-06-01T00:00:00Z,243.1799
2015-07-01T00:00:00Z,129.4533
2015-08-01T00:00:00Z,94.2675
2015-09-01T00:00:00Z,137.5872
2015-10-01T00:00:00Z,78.3482
2015-11-01T00:00:00Z,52.0574
2015-12-01T00:00:00Z,-48.2119
2016-01-01T00:00:00Z,-156.9814
2016-02-01T00:00:00Z,9.8482
2016-03-01T00:00:00Z,-7.3882
2016-04-01T00:00:00Z,115.8
2016-05-01T00:00:00Z,210.3533
2016-06-01T00:00:00Z,247.456
2016-07-01T00:00:00Z,289.3337
2016-08-01T00:00:00Z,184.2546
2016-09-01T00:00:00Z,176.6932
2016-10-01T00:00:00Z,-47.1461
2016-11-01T00:00:00Z,-46.9122
2016-12-01T00:00:00Z,29.805
2017-01-01T00:00:00Z,-84.7905
2017-02-01T00:00:00Z,-86.3895
