Date,CBA_South
2001-05-01T00:00:00Z,-0.30710992
2001-06-01T00:00:00Z,-0.2169017
2001-07-01T00:00:00Z,-0.18212162
2001-08-01T00:00:00Z,-0.13645972
2001-09-01T00:00:00Z,-0.23129795
2001-10-01T00:00:00Z,-0.21224244
2001-11-01T00:00:00Z,-0.08592253
2002-01-01T00:00:00Z,0.08123287
2002-02-01T00:00:00Z,0.05026134
2002-03-01T00:00:00Z,-0.016918682
2002-04-01T00:00:00Z,-0.099065036
2002-05-01T00:00:00Z,-0.3042377
2002-06-01T00:00:00Z,-0.22024336
2002-07-01T00:00:00Z,-0.18820494
2002-08-01T00:00:00Z,-0.19910787
2002-09-01T00:00:00Z,-0.24048406
2002-10-01T00:00:00Z,-0.2735591
2002-11-01T00:00:00Z,0.07199413
2002-12-01T00:00:00Z,0.15370852
2003-01-01T00:00:00Z,0.015843982
2003-02-01T00:00:00Z,0.055502083
2003-03-01T00:00:00Z,0.6397739
2003-04-01T00:00:00Z,0.41464236
2003-05-01T00:00:00Z,0.36280674
2003-06-01T00:00:00Z,0.05008997
2003-07-01T00:00:00Z,0.14440894
2003-08-01T00:00:00Z,-0.048141204
2003-09-01T00:00:00Z,-0.06139888
2003-10-01T00:00:00Z,0.18307422
2003-11-01T00:00:00Z,-0.15331142
2004-01-01T00:00:00Z,0.124510646
2004-02-01T00:00:00Z,0.19317245
2004-03-01T00:00:00Z,0.3426517
2004-04-01T00:00:00Z,0.3780609
2004-05-01T00:00:00Z,0.2264373
2004-06-01T00:00:00Z,0.25475386
2004-07-01T00:00:00Z,0.104383014
2004-08-01T00:00:00Z,0.24839768
2004-09-01T00:00:00Z,0.18603538
2004-10-01T00:00:00Z,0.105474226
2004-11-01T00:00:00Z,0.17580524
2004-12-01T00:00:00Z,-0.031647038
2005-01-01T00:00:00Z,0.3868884
2005-02-01T00:00:00Z,0.46554467
2005-03-01T00:00:00Z,0.30000725
2005-04-01T00:00:00Z,0.6402609
2005-05-01T00:00:00Z,0.64729565
2005-06-01T00:00:00Z,0.64685476
2005-07-01T00:00:00Z,0.60484225
2005-08-01T00:00:00Z,0.5448699
2005-09-01T00:00:00Z,0.28880852
2005-10-01T00:00:00Z,0.37820756
2005-11-01T00:00:00Z,0.13957746
2005-12-01T00:00:00Z,0.1240863
2006-02-01T00:00:00Z,-0.076238655
2006-03-01T00:00:00Z,0.1648517
2006-04-01T00:00:00Z,-0.020957625
2006-05-01T00:00:00Z,-0.011273817
2006-06-01T00:00:00Z,0.17680886
2006-07-01T00:00:00Z,0.045525607
2006-08-01T00:00:00Z,0.036378242
2006-09-01T00:00:00Z,0.110138156
2006-10-01T00:00:00Z,-0.10996466
2006-11-01T00:00:00Z,0.6299997
2006-12-01T00:00:00Z,0.042597406
2007-01-01T00:00:00Z,-0.001061574
2007-02-01T00:00:00Z,-0.062927544
2007-03-01T00:00:00Z,-0.15655942
2007-04-01T00:00:00Z,-0.316228
2007-05-01T00:00:00Z,-0.26205623
2007-06-01T00:00:00Z,-0.15427947
2007-07-01T00:00:00Z,-0.12507625
2007-08-01T00:00:00Z,2.70E-04
2007-09-01T00:00:00Z,0.19364926
2007-10-01T00:00:00Z,0.020113118
2007-11-01T00:00:00Z,-0.30661696
2007-12-01T00:00:00Z,-0.49075815
2008-02-01T00:00:00Z,-0.2444331
2008-03-01T00:00:00Z,-0.47198164
2008-04-01T00:00:00Z,-0.27467245
