"Year.of.Observation","Cetacean.Common.Name","cnt_all","strand_anom","cnt_HI","mean_HI","strand_anom_HI","MEI","NPGO","PDO","SST_39","SST_44","Upwelling_39","Upwelling_45","Wind_39","Wind_44","SST_39_anom","SST_44_anom"
2008,"Sperm whale",3,1.58333333333333,1,1.25,-0.25,-0.634083333333333,1.45521991333333,-1.2925,10.93375,11.6178,116.512108333333,-8.4657,-3.3257075,-0.8010407,-0.930162927350427,-0.802798928571428
2009,"Fin whale",2,0.2,1,1.5,-0.5,0.40475,0.7365307425,-0.6125,11.2064166666667,11.4874166666667,90.1843583333333,-21.7834166666667,-3.15302333333333,-0.10389575,-0.65749626068376,-0.581107165750916
2009,"Gray whale",10,1.26666666666667,2,2.4,-0.4,0.40475,0.7365307425,-0.6125,11.2064166666667,11.4874166666667,90.1843583333333,-21.7834166666667,-3.15302333333333,-0.10389575,-0.65749626068376,-0.581107165750916
2009,"Harbor porpoise",71,7.13333333333333,13,12.3571428571429,0.642857142857142,0.40475,0.7365307425,-0.6125,11.2064166666667,11.4874166666667,90.1843583333333,-21.7834166666667,-3.15302333333333,-0.10389575,-0.65749626068376,-0.581107165750916
2009,"Unidentified",3,-1.2,1,1,0,0.40475,0.7365307425,-0.6125,11.2064166666667,11.4874166666667,90.1843583333333,-21.7834166666667,-3.15302333333333,-0.10389575,-0.65749626068376,-0.581107165750916
2010,"Gray whale",11,2.26666666666667,4,2.4,1.6,-0.33975,1.36991890833333,-0.3125,11.4386666666667,12.0105833333333,62.41455,-56.86565,-2.14105727272727,0.879556333333333,-0.42524626068376,-0.0579404990842491
2010,"Harbor porpoise",58,-5.86666666666667,9,12.3571428571429,-3.35714285714286,-0.33975,1.36991890833333,-0.3125,11.4386666666667,12.0105833333333,62.41455,-56.86565,-2.14105727272727,0.879556333333333,-0.42524626068376,-0.0579404990842491
2010,"Humpback whale",6,3.07692307692308,1,1.71428571428571,-0.714285714285714,-0.33975,1.36991890833333,-0.3125,11.4386666666667,12.0105833333333,62.41455,-56.86565,-2.14105727272727,0.879556333333333,-0.42524626068376,-0.0579404990842491
2010,"Other",3,1.6,2,1.5,0.5,-0.33975,1.36991890833333,-0.3125,11.4386666666667,12.0105833333333,62.41455,-56.86565,-2.14105727272727,0.879556333333333,-0.42524626068376,-0.0579404990842491
2011,"Gray whale",7,-1.73333333333333,1,2.4,-1.4,-0.887083333333333,0.8574107575,-1.23083333333333,11.890375,12.2397142857143,100.035358333333,-31.005225,-2.605775,0.291517727272727,-0.426427884615385,-0.25874880952381
