Date,MEI,NPGO,PDO,SST_39,SST_44,Upwelling_39,Upwelling_45,Wind_39,Wind_44,ENSO_cat
6/1/95,0.879,-2.05465,0.75,12.414,NA,-50.8083,-103.8224,1.0789,NA,El Nino
7/1/95,0.466,-1.8249588,0.83,11.468,NA,43.6716,-12.0408,-3.20445,NA,El Nino
8/1/95,0.563,-1.5042439,1.46,10.549,12.109,127.8448,45.7194,NA,-3.992049,El Nino
9/1/95,0.508,-1.0479894,1.27,9.752,12.915,120.2652,19.4571,NA,-1.833986,El Nino
10/1/95,0.207,-1.4994407,1.71,NA,15.093,88.8624,36.4453,NA,-2.307692,El Nino
11/1/95,-0.143,-1.006015,0.21,12.365,14.088,142.7865,18.2753,-4.0861,-1.641791,La Nina
12/1/95,-0.426,-0.8939211,1.16,13.63,14.942,60.9588,6.7606,-2.13487,-0.291888,La Nina
1/1/96,-0.477,-0.5177138,0.47,12.471,14.814,106.2776,-6.554,-3.17851,-0.962027,La Nina
2/1/96,-0.478,-0.2774263,-0.28,13.486,11.995,4.6249,-107.7803,-1.92034,4.003792,La Nina
3/1/96,-0.554,0.21576191,0.16,13.727,11.998,-84.5876,-155.4328,1.97026,3.858514,La Nina
4/1/96,-0.612,-0.6389771,0.59,12.963,11.564,-17.9701,-60.1854,-0.47764,1.535967,La Nina
5/1/96,-0.581,-1.0529048,0.75,13.066,10.881,-45.7142,-104.2551,2.33657,2.437861,La Nina
6/1/96,-0.227,-1.1487637,1.01,11.784,10.915,58.3053,-10.4363,-1.76022,-0.367297,La Nina
7/1/96,-0.42,-0.43611655,1.46,11.919,11.321,15.6094,-107.5782,-1.23978,4.054381,La Nina
8/1/96,-0.127,-1.2747658,2.18,10.908,12.463,120.9576,15.2273,-4.47787,-2.340872,La Nina
9/1/96,0.068,-1.0600342,1.1,10.064,13.517,182.8316,31.5546,-6.11966,-3.301697,El Nino
10/1/96,-0.204,-0.88413566,0.77,12.167,11.948,154.0869,80.3232,-3.70148,-3.960352,La Nina
11/1/96,-0.374,-0.7482501,-0.14,11.926,11.638,139.2181,39.1177,-4.54266,-1.444195,La Nina
12/1/96,-0.437,-0.93392843,0.24,12.74,NA,108.7171,29.2461,-2.87688,NA,La Nina
1/1/97,-0.349,-1.0410775,-0.33,13.08,NA,63.9296,-26.8346,-2.82666,NA,La Nina
2/1/97,-0.146,-1.1001672,0.09,12.446,NA,2.9003,-35.5441,-1.53252,NA,La Nina
3/1/97,-0.336,-1.3549181,-0.03,12.746,NA,-94.8416,-125.1598,2.96173,NA,La Nina
4/1/97,-0.49,-1.6402249,0.23,11.984,9.779,-40.2084,-102.3717,0.70733,1.692525,La Nina
5/1/97,-0.595,-1.113095,0.28,11.477,NA,110.1646,-13.1493,-3.69772,NA,La Nina
6/1/97,-0.222,-0.6180283,0.65,10.518,NA,112.5545,-90.9265,-3.75257,NA,La Nina
7/1/97,0.535,-0.5061382,1.05,10.972,NA,138.9301,-13.4234,-4.07636,NA,El Nino
8/1/97,1.165,-0.87719417,1.83,13.717,NA,50.8643,4.8054,-2.82595,NA,El Nino
9/1/97,2.292,-0.93839335,2.76,12.53,NA,273.3372,5.2306,-6.26639,NA,El Nino
10/1/97,2.805,-0.7723616,2.35,12.257,NA,190.4364,39.646,-3.90613,NA,El Nino
11/1/97,3.04,-0.7858272,2.79,15.243,NA,87.4284,-0.621,-1.54533,NA,El Nino
12/1/97,3.044,-0.48147622,2.19,15.39,17.749,88.5355,-30.4601,-2.62833,1.426071,El Nino
1/1/98,2.401,-0.59425896,1.61,13.618,14.77,105.3261,-94.9655,-2.83071,0.795955,El Nino
2/1/98,2.542,0.17402893,1.12,15.484,13.192,-37.8507,-135.2897,1.41138,3.759064,El Nino
3/1/98,2.335,0.26068166,0.67,14.597,12.916,-30.066,-114.2764,-1.55237,1.757143,El Nino
4/1/98,2.466,0.5279142,0.83,14.157,12.39,-114.4965,-214.4658,4.62357,4.790244,El Nino
5/1/98,2.792,1.9000587,1.56,13.625,NA,-240.172,-271.2257,3.87511,NA,El Nino
6/1/98,2.768,0.8933178,2.01,12.471,NA,64.6095,-17.1478,-1.66417,NA,El Nino
7/1/98,2.685,0.5215131,1.27,11.539,NA,98.4864,16.0861,-2.5505,NA,El Nino
8/1/98,2.212,0.27758157,0.7,12.464,12.579,27.8624,20.2972,-1.606,-1.719134,El Nino
9/1/98,1.292,0.11902247,0.4,12.451,13.402,201.716,48.9503,-4.22902,-4.113853,El Nino
10/1/98,0.347,0.39316174,-0.04,12.475,15.052,196.6803,42.9523,-4.28664,-2.712311,El Nino
11/1/98,-0.331,0.2726569,-0.22,11.925,13.989,240.3564,58.2318,-5.57141,-5.842927,La Nina
12/1/98,-0.6,0.044480387,-1.21,12.848,13.341,131.7489,43.2188,-2.62764,-3.68913,La Nina
1/1/99,-0.798,0.098751135,-1.39,13.065,13.094,76.4953,-37.2807,-2.58869,1.78502,La Nina
2/1/99,-1.086,0.7173509,-0.52,12.542,12.625,-116.8187,-246.7316,1.53764,6.494678,La Nina
3/1/99,-0.922,0.7688304,-0.44,NA,10.812,85.4714,-130.4026,-2.57486,3.468947,La Nina
4/1/99,-1.053,1.0828257,-0.32,NA,9.565,45.1969,-158.6607,-0.68747,3.580676,La Nina
5/1/99,-1.176,2.3041594,-0.66,NA,9.282,-80.4642,-395.7448,1.80848,8.036128,La Nina
6/1/99,-1.019,1.9742975,-0.33,NA,9.358,4.2659,-200.788,-0.22552,4.80736,La Nina
7/1/99,-0.982,1.6464381,-0.41,NA,NA,303.4626,37.0272,-5.49471,-3.112254,La Nina
8/1/99,-0.66,1.6045933,-0.68,NA,NA,345.1626,39.083,-5.86774,-1.645087,La Nina
9/1/99,-0.361,1.9053233,-1.3,NA,NA,324.0128,22.2297,-5.78357,-1.840252,La Nina
10/1/99,-0.507,1.3811213,-0.66,NA,NA,231.7661,63.8058,-3.49582,-3.64866,La Nina
11/1/99,-0.745,1.4334654,-0.96,NA,NA,138.1575,38.9882,-3.87893,-1.760959,La Nina
12/1/99,-0.953,1.3049656,-1.53,NA,NA,161.9507,55.52,-2.51394,-4.651003,La Nina
1/1/00,-0.973,1.1788208,-2.23,11.982,10.727,64.995,-76.3936,-2.72245,-0.597683,La Nina
2/1/00,-1.05,1.3205504,-2.05,12.62,11.105,-138.3826,-189.236,1.94643,5.391176,La Nina
3/1/00,-1.161,1.0528054,-1.63,11.502,10.505,39.6248,-124.471,-3.28,2.460916,La Nina
4/1/00,-1.139,1.4045384,-2,10.714,9.65,-56.5364,-148.5527,1.49351,2.879367,La Nina
5/1/00,-1.207,2.123531,-0.83,11.356,9.953,-139.8682,-125.2014,3.891,2.807547,La Nina
6/1/00,-1.112,2.1492677,0.29,10.299,9.883,156.329,-51.4247,-4.38084,0.360516,La Nina
7/1/00,-0.479,2.3652706,0.35,11.082,10.603,32.6887,-6.3377,-1.26938,-0.08429,La Nina
8/1/00,0.169,2.220292,-0.05,11.07,12.315,176.3539,4.0163,-3.74296,-0.274684,El Nino
9/1/00,-0.053,2.1020663,-0.44,11.615,12.192,202.8332,51.5571,-2.729,-3.72636,La Nina
10/1/00,-0.184,1.655785,-0.66,11.158,12.752,232.0018,43.1225,-4.75681,-2.477297,La Nina
11/1/00,-0.145,1.3516272,-1.19,10.842,12.725,268.4336,51.8644,-3.68192,-3.368059,La Nina
12/1/00,-0.227,1.3801795,-1.24,13.025,12.787,117.6193,16.4489,-2.34757,-0.92128,La Nina
1/1/01,-0.387,1.6981881,-1.3,12.176,11.505,91.3889,-58.2156,-2.01036,0.405722,La Nina
2/1/01,-0.714,2.0145948,-0.53,11.828,10.749,37.7896,-75.0561,-1.39003,0.083168,La Nina
3/1/01,-0.566,2.164995,0.52,12.195,10.148,-7.1742,-120.4222,-0.78464,NA,La Nina
4/1/01,-0.505,2.8619328,0.6,11.205,9.969,-47.0401,-114.3928,0.01824,NA,La Nina
5/1/01,-0.669,2.9560468,0.29,10.014,9.557,-54.0718,-65.3373,0.96353,-0.191139,La Nina
6/1/01,-0.571,2.388775,0.45,10.546,9.552,145.5372,-21.1961,-3.45088,-0.378919,La Nina
7/1/01,-0.091,2.2039413,-0.31,9.921,9.908,131.0277,-15.8013,-4.09427,0.737709,La Nina
8/1/01,0.233,1.9538953,-0.3,10.34,11.141,312.8924,48.9878,-4.46399,-3.624092,El Nino
9/1/01,0.006,2.349303,-0.47,10.529,13.499,336.9276,39.042,-5.33482,-2.759078,El Nino
