Date,CBA_North
2015-10-01T00:00:00Z,-1.0839218
2015-11-01T00:00:00Z,-1.1382482
2016-01-01T00:00:00Z,-1.1446959
2016-02-01T00:00:00Z,-1.2009913
2016-03-01T00:00:00Z,-1.335702
2016-04-01T00:00:00Z,-1.4349062
2016-05-01T00:00:00Z,-1.4637583
2016-06-01T00:00:00Z,-0.63282156
2016-07-01T00:00:00Z,-0.62877065
2016-08-01T00:00:00Z,-0.7941863
2016-09-01T00:00:00Z,-0.95858437
2016-10-01T00:00:00Z,-0.35280508
2016-11-01T00:00:00Z,-1.0044814
2016-12-01T00:00:00Z,-0.8905067
2017-01-01T00:00:00Z,-1.1446959
2017-02-01T00:00:00Z,-1.1922469
2017-03-01T00:00:00Z,-1.335702
2017-04-01T00:00:00Z,-1.3875173
2017-05-01T00:00:00Z,-1.579575
2017-06-01T00:00:00Z,-1.207666
2017-07-01T00:00:00Z,-0.360254
2017-08-01T00:00:00Z,0.37451375
2017-09-01T00:00:00Z,-0.33511773
2017-10-01T00:00:00Z,0.19372824
2017-11-01T00:00:00Z,0.35858518
2017-12-01T00:00:00Z,-0.30527332
